# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	19937
#@/user_id	79fb09ba-e482-4a0b-8f97-bc33c2a34fd8
biao ge 	表格	c=1 d=4.47621e-15 t=19937
biao ji 	標記	c=5 d=0.116297 t=19767
biao ji le 	標記了	c=1 d=1 t=19768
biao jie gou 	表結構	c=3 d=1.30735e-05 t=19937
biao ke 	鏢客	c=1 d=5.50208e-19 t=19937
biao ming 	表名	c=13 d=1.75957 t=18048
biao qian 	標籤	c=8 d=1.40556e-10 t=19937
biao qing 	表情	c=3 d=2.13916e-09 t=19937
biao qing bao 	表情包	c=9 d=0.745556 t=19937
biao ti 	標題	c=1 d=1 t=16701
biao tou 	表頭	c=3 d=1.28291e-06 t=19937
biao zhong 	表中	c=1 d=1 t=15446
biao zhun 	標準	c=2 d=0.0450609 t=19937
bie 	別	c=9 d=0.472367 t=19937
bie chao guo 	別超過	c=1 d=1 t=11249
bie de 	別的	c=5 d=0.0284388 t=19937
bie fa 	別發	c=1 d=2.09195e-07 t=19937
bie guan 	別管	c=1 d=1 t=15212
bie ming 	別名	c=3 d=9.73969e-10 t=19937
bie niu 	彆扭	c=0 d=0.1 t=19396
bie ren 	別人	c=9 d=0.00361861 t=19937
bie shuo 	別說	c=2 d=1.97531 t=10747
bie tai 	別太	c=0 d=0.1 t=11243
bie tai gao 	別太高	c=1 d=1 t=11244
bie tian 	別填	c=1 d=8.49049e-17 t=19937
bing 	並	c=9 d=0.0731685 t=19937
bing 	冰	c=1 d=1 t=10071
bing 	餅	c=0 d=0.1 t=18663
bing bu zhi dao 	並不知道	c=0 d=0.1 t=10128
bing chu fa 	並觸發	c=1 d=1 t=16468
bing cun 	並存	c=1 d=1 t=18272
bing fa 	併發	c=1 d=1.77925e-14 t=19937
bing kuai 	冰塊	c=1 d=1 t=16807
bing qie 	並且	c=1 d=1 t=19466
bo 	博	c=1 d=2.09409e-19 t=19937
bo 	啵	c=1 d=1.16845e-08 t=19937
bo 	播	c=1 d=0.084163 t=19937
bo fang 	播放	c=1 d=1.28202e-11 t=19937
bo he 	薄荷	c=2 d=6.8485e-19 t=19937
bo li 	玻璃	c=1 d=3.78748e-20 t=19937
bo yi lun 	博弈論	c=3 d=2.74351 t=9598
bo yin 	波音	c=1 d=1 t=18681
bo zi 	脖子	c=1 d=1 t=13249
bu 	不	c=50 d=0.744591 t=19937
bu 	補	c=1 d=0.00634556 t=19937
bu bu 	不不	c=1 d=1 t=11471
bu cha 	不差	c=1 d=1.14551e-10 t=19937
bu chang 	不唱	c=2 d=1.42028e-10 t=19937
bu chang 	補償	c=12 d=1.00047 t=18169
bu che 	不扯	c=1 d=1 t=12718
bu chong 	補充	c=2 d=1 t=18147
bu cuo 	不錯	c=2 d=1.10059e-10 t=19937
bu da 	不大	c=3 d=0.660274 t=19937
bu dai 	不帶	c=1 d=0.00444934 t=19937
bu dao 	不到	c=4 d=0.0303487 t=19937
bu de 	不得	c=2 d=1.32702e-05 t=19937
bu deng yu 	不等於	c=1 d=3.69271e-16 t=19937
bu dong 	不動	c=1 d=0.00565622 t=19937
bu dui 	不對	c=15 d=0.00480528 t=19937
bu dui 	部隊	c=1 d=0.000649051 t=19937
bu dui jin 	不對勁	c=1 d=3.18549e-13 t=19937
bu dui kang 	不對抗	c=1 d=1 t=13600
bu duo 	不多	c=1 d=1 t=10583
bu er 	布爾	c=1 d=2.32474e-13 t=19937
bu fa 	不發	c=1 d=1 t=15564
bu fan hui 	不返回	c=1 d=1 t=12085
bu fang bian 	不方便	c=2 d=8.87978e-15 t=19937
bu fang xin 	不放心	c=0 d=0.0582748 t=19937
